contig_id	length	checkv_quality	completeness	completeness_method	contamination	warnings
k141_52907_length_3418_cov_8.0000	3418	Low-quality	8.49	AAI-based (high-confidence)	0	
k141_5367_length_5094_cov_28.0000	5094	Low-quality	6.44	HMM-based (lower-bound)	0	
k141_53900_length_8797_cov_326.3524	8797	Low-quality	5.31	HMM-based (lower-bound)	47.56	
k141_54913_length_9652_cov_18.0000	9652	Low-quality	8.8	HMM-based (lower-bound)	0	
k141_55764_length_3074_cov_7.0000	3074	Low-quality	10.18	AAI-based (high-confidence)	0	
k141_5617_length_2700_cov_19.6905	2700	Low-quality	5.28	AAI-based (medium-confidence)	0	
k141_56300_length_3572_cov_17.0000	3572	Low-quality	2.41	HMM-based (lower-bound)	25.2	
k141_56903_length_29148_cov_32.5602	29148	Not-determined	NA	NA	0	no viral genes detected
k141_5723_length_4048_cov_16.0000	4048	Low-quality	6.91	AAI-based (medium-confidence)	0	
k141_57410_length_20504_cov_55.0607	20504	Low-quality	29.22	HMM-based (lower-bound)	0	
k141_57441_length_1585_cov_39.8158	1585	Low-quality	2.74	HMM-based (lower-bound)	0	
k141_58508_length_4060_cov_18.0000	4060	Not-determined	NA	NA	0	no viral genes detected
k141_59012_length_5308_cov_31.9367	5308	Low-quality	3.57	HMM-based (lower-bound)	0	
k141_60145_length_7083_cov_178.9520	7083	Low-quality	16.37	AAI-based (high-confidence)	0	
k141_61441_length_39285_cov_85.7332_fragment_1	12492	Low-quality	11.73	AAI-based (medium-confidence)	0	no viral genes detected
k141_62724_length_4261_cov_23.0000	4261	Not-determined	NA	NA	0	no viral genes detected
k141_63097_length_7024_cov_12.0000	7024	Low-quality	16.2	AAI-based (medium-confidence)	0	
k141_63423_length_1541_cov_23.0000	1541	Low-quality	3.32	HMM-based (lower-bound)	0	
k141_6558_length_5258_cov_11.0000	5258	Low-quality	13.59	AAI-based (medium-confidence)	0	
k141_65999_length_11602_cov_26.9115	11602	Not-determined	NA	NA	0	no viral genes detected
k141_67303_length_7186_cov_31.0000	7186	Low-quality	17.13	AAI-based (high-confidence)	0	
k141_67420_length_3427_cov_26.9994	3427	Low-quality	7.5	AAI-based (medium-confidence)	0	
k141_67646_length_2866_cov_13.0000	2866	Low-quality	9.51	HMM-based (lower-bound)	0	
k141_6776_length_4326_cov_41.0000	4326	Not-determined	NA	NA	0	no viral genes detected
k141_67943_length_3187_cov_96.2663	3187	Low-quality	1.68	HMM-based (lower-bound)	0	
k141_69528_length_6269_cov_17.0000	6269	Low-quality	0.53	HMM-based (lower-bound)	0	
k141_70308_length_1519_cov_33.0000	1519	Low-quality	3.35	HMM-based (lower-bound)	0	
k141_70670_length_1503_cov_123.7137	1503	Low-quality	3.02	HMM-based (lower-bound)	0	
k141_71039_length_5277_cov_15.0000	5277	Low-quality	13.74	AAI-based (medium-confidence)	0	
k141_71472_length_4744_cov_444.2511	4744	Not-determined	NA	NA	0	no viral genes detected
k141_72070_length_2002_cov_14.0000	2002	Low-quality	5.08	AAI-based (high-confidence)	0	
k141_73388_length_1592_cov_26.0000	1592	Low-quality	0.36	HMM-based (lower-bound)	0	
k141_74859_length_5235_cov_12.9364	5235	Low-quality	8.74	AAI-based (high-confidence)	15.4	
k141_75117_length_12314_cov_29.7213	12314	Not-determined	NA	NA	0	no viral genes detected
k141_75704_length_4054_cov_18.0000	4054	Low-quality	9.81	AAI-based (high-confidence)	0	
k141_75906_length_33424_cov_57.8719	33424	Not-determined	NA	NA	0	no viral genes detected
k141_75933_length_3492_cov_13.0000	3492	Low-quality	2.65	HMM-based (lower-bound)	0	
k141_76304_length_1285_cov_59.2850	1285	Low-quality	2.18	HMM-based (lower-bound)	0	
k141_7685_length_14700_cov_124.8085	14700	Not-determined	NA	NA	0	no viral genes detected
k141_76892_length_1589_cov_44.0000	1589	Low-quality	3.67	AAI-based (medium-confidence)	0	
k141_77008_length_2281_cov_37.8654	2281	Low-quality	5.4	AAI-based (high-confidence)	0	
k141_77115_length_1101_cov_4.0000	1101	Low-quality	2.03	HMM-based (lower-bound)	0	
k141_77406_length_5178_cov_31.0201	5178	Low-quality	13.25	AAI-based (high-confidence)	0	
k141_77426_length_2494_cov_21.1118	2494	Low-quality	5.91	AAI-based (high-confidence)	0	
k141_77509_length_28270_cov_119.9646	28270	Medium-quality	85.34	AAI-based (medium-confidence)	0	
k141_7759_length_16175_cov_77.2245	16175	Low-quality	31.07	AAI-based (medium-confidence)	0	
k141_80174_length_4049_cov_68.6865	4049	Not-determined	NA	NA	0	no viral genes detected
k141_80778_length_16329_cov_50.9906	16329	Low-quality	44.99	AAI-based (medium-confidence)	0	
k141_80898_length_4093_cov_74.7019	4093	Low-quality	7.22	HMM-based (lower-bound)	0	
k141_81973_length_149426_cov_987.5384_fragment_2	62506	Medium-quality	76.36	AAI-based (high-confidence)	36.37	low-confidence Provirus
k141_82574_length_10666_cov_62.1145	10666	Not-determined	NA	NA	0	no viral genes detected
k141_85598_length_6532_cov_7.0000	6532	Low-quality	16.4	AAI-based (medium-confidence)	0	
k141_85791_length_3273_cov_21.0000	3273	Low-quality	3.85	AAI-based (medium-confidence)	0	
k141_86346_length_4309_cov_171.1991	4309	Low-quality	9.31	AAI-based (medium-confidence)	0	
k141_87550_length_1376_cov_5.0000	1376	Low-quality	1.41	HMM-based (lower-bound)	0	
k141_88337_length_2248_cov_13.0000	2248	Low-quality	3.51	HMM-based (lower-bound)	0	
k141_88978_length_4050_cov_95.7206	4050	Low-quality	7.81	AAI-based (medium-confidence)	0	
k141_89340_length_5257_cov_99.6271	5257	Not-determined	NA	NA	0	no viral genes detected
k141_89489_length_1562_cov_14.0000	1562	Low-quality	3.49	HMM-based (lower-bound)	0	
k141_89516_length_18222_cov_92.1328	18222	Not-determined	NA	NA	0	no viral genes detected
k141_89729_length_3736_cov_25.0000	3736	Low-quality	5.97	HMM-based (lower-bound)	0	
k141_90070_length_16802_cov_121.6855	16802	Not-determined	NA	NA	0	no viral genes detected
k141_91264_length_6123_cov_6.0000	6123	Low-quality	12.91	AAI-based (medium-confidence)	0	
k141_91323_length_5112_cov_11.9730	5112	Low-quality	11.21	AAI-based (high-confidence)	0	
k141_91335_length_5330_cov_28.0000	5330	Low-quality	7.06	HMM-based (lower-bound)	0	
k141_92401_length_4247_cov_19.0000	4247	Low-quality	9.61	AAI-based (medium-confidence)	0	
k141_92642_length_2054_cov_27.0000	2054	Low-quality	4.6	AAI-based (high-confidence)	0	
k141_92786_length_3667_cov_14.0000	3667	Not-determined	NA	NA	0	no viral genes detected
k141_93056_length_3630_cov_24.4428	3630	Not-determined	NA	NA	0	no viral genes detected
k141_9334_length_1260_cov_28.0000	1260	Low-quality	0.62	HMM-based (lower-bound)	0	
k141_93371_length_2436_cov_74.8854	2436	Low-quality	4.58	HMM-based (lower-bound)	0	
k141_93597_length_7667_cov_30.0000	7667	Low-quality	13	HMM-based (lower-bound)	0	
k141_94204_length_2306_cov_117.5755	2306	Low-quality	5.69	AAI-based (high-confidence)	0	
k141_9509_length_12592_cov_10.0000	12592	Low-quality	20.21	HMM-based (lower-bound)	0	
k141_95296_length_16852_cov_80.3096	16852	Low-quality	29.65	AAI-based (medium-confidence)	0	
k141_95658_length_3174_cov_48.6360	3174	Not-determined	NA	NA	0	no viral genes detected
k141_95676_length_2791_cov_9.0000	2791	Low-quality	6.85	AAI-based (high-confidence)	0	
k141_99192_length_33305_cov_4570.5273	33305	Complete	100	DTR (medium-confidence)	0	
k141_99967_length_6887_cov_318.7713	6887	Not-determined	NA	NA	0	no viral genes detected
